ID,total+AF8-number+AF8-employees,Department of Transportation,Department of Labor,Department of Justice,Department of the Interior,Department of Commerce,National Aeronautics and Space Administration,Department of Agriculture
602,59,0,0,0,0,0,0,1
603,2,0,0,0,0,0,0,1
604,1,0,0,0,0,0,0,1
605,6,0,0,0,0,0,0,1
606,18,0,0,0,0,0,0,1
607,3,0,0,0,0,0,0,1
608,8,0,0,0,0,0,0,1
609,4,0,0,0,0,0,0,1
610,4,0,0,0,0,0,0,1
611,1,0,0,0,0,0,0,1
612,1,0,0,0,0,0,0,1
613,1,0,0,0,0,0,0,1
614,11,0,0,0,0,0,0,1
615,3,0,0,0,0,0,0,1
616,4,0,0,0,0,0,0,1
617,12,0,0,0,0,0,0,1
618,4,0,0,0,0,0,0,1
619,5,0,0,0,0,0,0,1
620,2,0,0,0,0,0,0,1
621,1,0,0,0,0,0,0,1
622,1,0,0,0,0,0,0,1
623,2,0,0,0,0,0,0,1
624,12,0,0,0,0,0,0,1
625,4,0,0,0,0,0,0,1
626,6,0,0,0,0,0,0,1
627,2,0,0,0,0,0,0,1
628,6,0,0,0,0,0,0,1
629,7,0,0,0,0,0,0,1
630,8,0,0,0,0,0,0,1
631,14,0,0,0,0,0,0,1
632,4,0,0,0,0,0,0,1
633,2,0,0,0,0,0,0,1
634,4,0,0,0,0,0,0,1
635,1,0,0,0,0,0,0,1
636,7,0,0,0,0,0,0,1
637,7,0,0,0,0,0,0,1
638,1,0,0,0,0,0,0,1
639,1,0,0,0,0,0,0,1
640,1,0,0,0,0,0,0,1
641,1,0,0,0,0,0,0,1
642,3,0,0,0,0,0,0,1
643,1,0,0,0,0,0,0,1
644,2,0,0,0,0,0,0,1
645,4,0,0,0,0,0,0,1
646,2,0,0,0,0,0,0,1
647,3,0,0,0,0,0,0,1
648,7,0,0,0,0,0,0,1
649,4,0,0,0,0,0,0,1
650,1,0,0,0,0,0,0,1
651,2,0,0,0,0,0,0,1
652,2,0,0,0,0,0,0,1
653,7,0,0,0,0,0,0,1
654,1,0,0,0,0,0,0,1
655,5,0,0,0,0,0,0,1
656,1,0,0,0,0,0,0,1
657,2,0,0,0,0,0,0,1
658,1,0,0,0,0,0,0,1
659,2,0,0,0,0,0,0,1
660,1,0,0,0,0,0,0,1
661,3,0,0,0,0,0,0,1
662,1,0,0,0,0,0,0,1
663,4,0,0,0,0,0,0,1
664,12,0,0,0,0,0,0,1
665,1,0,0,0,0,0,0,1
666,2,0,0,0,0,0,0,1
667,6,0,0,0,0,0,0,1
668,6,0,0,0,0,0,0,1
669,1,0,0,0,0,0,0,1
670,1,0,0,0,0,0,0,1
671,2,0,0,0,0,0,0,1
672,2,0,0,0,0,0,0,1
673,1,0,0,0,0,0,0,1
674,8,0,0,0,0,0,0,1
675,1,0,0,0,0,0,0,1
676,4,0,0,0,0,0,0,1
677,7,0,0,0,0,0,0,1
678,4,0,0,0,0,0,0,1
679,3,0,0,0,0,0,0,1
680,1,0,0,0,0,0,0,1
681,5,0,0,0,0,0,0,1
682,11,0,0,0,0,0,0,1
683,6,0,0,0,0,0,0,1
684,3,0,0,0,0,0,0,1
685,1,0,0,0,0,0,0,1
686,10,0,0,0,0,0,0,1
687,1,0,0,0,0,0,0,1
688,2,0,0,0,0,0,0,1
689,1,0,0,0,0,0,0,1
690,2,0,0,0,0,0,0,1
691,2,0,0,0,0,0,0,1
692,2,0,0,0,0,0,0,1
693,1,0,0,0,0,0,0,1
694,6,0,0,0,0,0,0,1
695,2,0,0,0,0,0,0,1
696,3,0,0,0,0,0,0,1
697,11,0,0,0,0,0,0,0
698,3,0,0,0,0,0,0,0
699,2,0,0,0,0,0,0,0
700,7,0,0,0,0,0,0,0
701,1,0,0,0,0,0,0,0
702,6,0,0,0,0,0,0,0
703,7,0,0,0,0,0,0,0
704,2,0,0,0,0,0,0,0
705,2,0,0,0,0,0,0,0
706,2,0,0,0,0,0,0,0
707,8,0,0,0,0,0,0,0
708,2,0,0,0,0,0,0,0
709,8,0,0,0,0,0,0,0
710,3,0,0,0,0,0,0,0
711,5,0,0,0,0,0,0,0
712,5,0,0,0,0,0,0,0
713,1,0,0,0,0,0,0,0
714,3,0,0,0,0,0,0,0
715,4,0,0,0,0,0,0,0
716,1,0,0,0,0,0,0,0
717,6,0,0,0,0,0,0,0
718,1,0,0,0,0,0,0,0
719,2,0,0,0,0,0,0,0
720,2,0,0,0,0,0,0,0
721,1,0,0,0,0,0,0,1
722,1,0,0,0,0,0,0,0
723,6,0,0,0,0,0,0,0
724,2,0,0,0,0,0,0,0
725,1,0,0,0,0,0,0,0
726,5,0,0,0,0,0,0,0
727,32,0,0,0,0,0,0,0
728,6,0,0,0,0,0,0,0
729,9,0,0,0,0,0,0,0
730,11,0,0,0,0,0,0,0
731,17,0,0,0,0,0,0,0
732,4,0,0,0,0,0,0,0
733,9,0,0,0,0,0,0,0
734,1,0,0,0,0,0,0,0
735,43,0,0,0,0,0,0,0
736,4,0,0,0,0,0,0,0
737,3,0,0,0,0,0,0,0
738,1,0,0,0,0,0,0,0
739,13,0,0,0,0,0,0,0
740,3,0,0,0,0,0,0,0
741,1,0,0,0,0,0,0,0
742,3,0,0,0,0,0,0,0
743,5,0,0,0,0,0,0,0
744,26,0,0,0,0,0,0,0
745,10,0,0,0,0,0,0,0
746,35,0,0,0,0,0,0,0
747,35,0,0,0,0,0,0,0
748,21,0,0,0,0,0,0,0
749,2,0,0,0,0,0,0,0
750,7,0,0,0,0,0,0,0
751,1,0,0,0,0,0,0,0
752,23,0,0,0,0,0,0,0
753,7,0,0,0,0,0,0,0
754,4,0,0,0,0,0,0,0
755,30,0,0,0,0,0,0,0
